id,name,host_name,neighbourhood,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,availability_365,latitude,longitude
269,Society especially head opportunity.,Amy,Queens,Entire home/apt,125.0,5,324,3.94,112,40.7708,-74.058
270,General half serious run contain.,Melissa,Queens,Private room,152.0,3,264,2.68,358,40.8329,-74.0507
271,Federal even baby true.,Renee,Manhattan,Private room,108.0,14,383,4.11,38,40.7218,-74.0786
272,Wide open.,Michael,Queens,Private room,58.0,2,293,1.35,349,40.8721,-74.0739
273,If investment ten.,Greg,Brooklyn,Entire home/apt,175.0,14,123,4.36,105,40.5917,-73.816
274,To cut face marriage something.,Carolyn,Staten Island,Private room,119.0,2,398,0.53,40,40.7703,-73.8846
275,Simple avoid order federal.,Jennifer,Staten Island,Entire home/apt,175.0,30,277,4.79,246,40.6485,-74.0238
276,Candidate minute west.,Melinda,Staten Island,Private room,17.0,5,93,4.92,261,40.6121,-74.0612
277,Detail share current stop whose.,Ricky,Staten Island,Entire home/apt,121.0,1,269,4.0,244,40.8759,-74.137
278,New begin protect we.,Ruben,Queens,Private room,70.0,30,351,3.88,234,40.8906,-73.8707
279,Its realize middle over.,Bryan,Bronx,Private room,77.0,14,4,0.06,107,40.6518,-74.1097
280,Knowledge cut laugh charge.,Patrick,Queens,Shared room,65.0,30,132,0.94,134,40.5949,-73.9615
281,Focus difference you.,Marco,Staten Island,Private room,87.0,3,94,2.49,107,40.6676,-73.8491
282,Tax I record guess.,Ronald,Queens,Private room,27.0,3,230,0.9,67,40.8917,-73.8756
283,Language soldier economy feel.,Mark,Manhattan,Shared room,55.0,3,120,2.78,195,40.5784,-73.83
284,Cultural fear ability citizen.,Nicholas,Brooklyn,Private room,104.0,30,4,0.88,255,40.5538,-73.7927
285,Whose upon alone.,Dylan,Staten Island,Shared room,62.0,14,161,3.93,153,40.6004,-73.8066
286,High tell news party.,Jamie,Manhattan,Private room,123.0,1,353,0.82,110,40.8255,-73.9594
287,Upon region.,Jill,Manhattan,Private room,113.0,14,171,1.3,184,40.7241,-73.7773
288,Since set member third.,Lacey,Queens,Private room,98.0,1,210,0.61,347,40.8852,-74.0704
289,Produce catch might laugh start.,Lisa,Staten Island,Shared room,37.0,14,275,0.87,145,40.642,-73.8807
290,Decade relationship experience building.,Christina,Bronx,Shared room,10.0,5,40,1.91,146,40.6855,-73.7674
291,Size section bank only.,David,Brooklyn,Shared room,57.0,30,172,2.11,313,40.7287,-73.8104
292,Ok relationship.,Anthony,Manhattan,Entire home/apt,158.0,2,175,1.14,162,40.7612,-73.8658
293,Series step skin.,Amanda,Staten Island,Shared room,51.0,5,138,4.44,185,40.7992,-73.9416
294,Stand fish reality position.,Kevin,Bronx,Private room,29.0,2,94,4.27,64,40.7911,-73.8852
295,They though far book.,Jennifer,Manhattan,Entire home/apt,107.0,2,203,0.52,32,40.8747,-73.9607
296,Baby effect stand.,Timothy,Manhattan,Entire home/apt,192.0,30,203,2.62,42,40.5416,-73.9028
297,Guess now.,Jennifer,Manhattan,Shared room,38.0,5,158,1.15,145,40.6773,-74.0994
298,Purpose trial particularly write possible.,Katherine,Staten Island,Entire home/apt,177.0,1,17,3.32,166,40.8457,-73.9631
299,Draw way attorney career idea.,Holly,Staten Island,Private room,81.0,7,227,0.68,357,40.7157,-73.9137
300,Before result condition pattern particular.,Alison,Bronx,Shared room,41.0,14,325,4.39,222,40.7094,-73.8942
301,Woman discussion western accept law.,Amanda,Queens,Private room,118.0,5,276,1.14,45,40.6767,-74.0037
302,Laugh space policy.,Tanner,Queens,Entire home/apt,129.0,3,5,0.0,69,40.6376,-73.9623
303,Ground suggest on.,Zoe,Manhattan,Shared room,44.0,5,386,2.39,4,40.8063,-73.8308
304,Indeed hold.,George,Staten Island,Entire home/apt,132.0,30,3,2.74,96,40.6647,-73.9258
305,Strategy his figure draw tree.,David,Bronx,Entire home/apt,133.0,2,366,3.69,199,40.8314,-74.0618
306,Stop also.,Laura,Manhattan,Private room,68.0,14,122,2.58,313,40.823,-73.8761
307,Speak war popular else.,Kimberly,Queens,Shared room,49.0,14,272,4.04,211,40.5752,-74.1226
308,Require economic single trip list.,Douglas,Brooklyn,Private room,61.0,1,326,2.28,231,40.6089,-73.9009
309,Rise throw government born.,Sarah,Brooklyn,Private room,130.0,1,77,0.25,273,40.5089,-73.7611
310,Happen local.,Michael,Queens,Private room,44.0,2,366,2.19,4,40.5931,-74.0897
311,Record institution.,Amanda,Bronx,Entire home/apt,143.0,3,215,1.56,255,40.8992,-73.9645
312,Street impact usually message son.,Erika,Manhattan,Private room,62.0,1,384,4.76,28,40.6066,-73.993
313,Wide case realize.,Andrea,Staten Island,Private room,138.0,2,98,4.48,128,40.8269,-73.8187
314,Other treatment.,Anthony,Manhattan,Shared room,48.0,2,197,3.86,226,40.5989,-73.7522
315,Professor approach.,Ryan,Brooklyn,Private room,121.0,14,394,0.47,340,40.8928,-73.9609
316,Citizen against.,Angie,Queens,Private room,21.0,2,322,3.64,281,40.7084,-74.0487
317,Sort record improve.,Erin,Queens,Entire home/apt,161.0,3,26,4.32,111,40.8893,-74.0556
318,Candidate for assume near.,Cody,Bronx,Private room,116.0,1,85,3.97,299,40.5479,-73.8343
319,Offer usually adult society.,James,Manhattan,Entire home/apt,153.0,7,353,2.38,305,40.562,-73.8417
320,Employee despite.,Jessica,Brooklyn,Entire home/apt,193.0,5,46,3.43,173,40.8723,-73.7512
321,Trip change.,Matthew,Manhattan,Entire home/apt,129.0,3,330,0.77,274,40.8166,-74.0997
322,General now mention finally.,Cody,Brooklyn,Private room,136.0,7,330,3.78,224,40.7933,-74.1415
323,Know result Mr.,Erin,Bronx,Private room,172.0,14,68,1.25,20,40.6941,-73.975
324,Job person medical kind.,Sharon,Queens,Shared room,25.0,14,250,0.95,95,40.7174,-74.0205
325,Him future.,Dennis,Bronx,Private room,62.0,30,306,4.57,283,40.5641,-73.9375
326,Network whether stop fear.,Taylor,Bronx,Private room,138.0,30,134,2.71,232,40.5003,-73.8948
327,During reflect job.,Lisa,Bronx,Shared room,103.0,2,9,3.1,186,40.8104,-74.0545
328,Card can ago.,Tammie,Manhattan,Shared room,19.0,7,198,0.95,349,40.699,-73.9294
329,Approach as avoid lead.,Mary,Staten Island,Private room,63.0,3,209,3.2,56,40.5385,-73.8864
330,Against chair win quality particular.,Kevin,Manhattan,Entire home/apt,139.0,2,16,1.01,248,40.5766,-74.1373
331,Result it.,Allison,Bronx,Shared room,10.0,5,269,3.12,302,40.6024,-74.0035
332,One north where.,Erika,Staten Island,Shared room,10.0,1,6,4.65,106,40.7623,-73.7786
333,Region carry staff.,James,Manhattan,Private room,40.0,30,327,0.3,285,40.7974,-73.7938
334,Physical which industry public.,Kevin,Queens,Shared room,10.0,1,315,1.33,20,40.7937,-73.8162
335,Nothing contain station.,Nicole,Manhattan,Entire home/apt,149.0,7,49,0.51,118,40.7127,-74.0742
336,Free response sound join.,Destiny,Staten Island,Shared room,49.0,2,291,3.13,91,40.7234,-73.9267
337,Force hair parent memory.,Caitlyn,Manhattan,Shared room,102.0,7,183,3.37,359,40.7661,-73.7969
338,Population plant factor surface quite.,Joseph,Brooklyn,Entire home/apt,110.0,7,205,2.52,336,40.5633,-73.7506
339,Whose worker child.,Jeffery,Bronx,Private room,119.0,3,281,4.96,166,40.8379,-73.9851
340,Hour art now.,Jessica,Bronx,Shared room,31.0,3,311,1.2,279,40.5856,-73.8437
341,Use table method office first.,Robert,Queens,Private room,78.0,5,229,4.8,0,40.7905,-73.7568
342,Their sign expert hand.,Cathy,Staten Island,Entire home/apt,177.0,7,69,4.97,154,40.5026,-73.7562
343,Second by heart including.,Melissa,Brooklyn,Private room,35.0,1,395,4.11,353,40.8289,-73.7824
344,Yes talk kitchen accept.,Rose,Staten Island,Shared room,55.0,7,292,0.77,19,40.6841,-74.0876
345,Fast others.,Matthew,Queens,Private room,87.0,7,127,1.16,153,40.5368,-73.9901
346,Wonder art clearly see.,Megan,Brooklyn,Shared room,60.0,1,370,1.62,247,40.5692,-73.8197
347,Really spring.,Kimberly,Staten Island,Entire home/apt,162.0,7,328,1.5,295,40.6526,-73.838
348,Seven through wait return let.,Kristen,Queens,Private room,178.0,30,222,2.08,61,40.8479,-74.0593
349,Enter quality phone.,Dakota,Staten Island,Entire home/apt,124.0,14,398,3.16,27,40.6219,-74.1335
350,Air alone.,Paul,Staten Island,Shared room,19.0,2,167,2.51,113,40.5613,-73.8805
351,News truth.,Nicholas,Bronx,Private room,55.0,30,304,2.88,46,40.5888,-74.0341
352,Free her seat instead rock.,Darius,Bronx,Entire home/apt,128.0,2,172,0.41,292,40.7981,-73.9307
353,Administration source Democrat.,Julie,Queens,Entire home/apt,125.0,5,256,2.17,357,40.5522,-74.0961
354,Important force enter past.,Tammy,Staten Island,Entire home/apt,198.0,5,202,3.26,100,40.7245,-73.7512
355,Ago ahead grow may.,Allen,Staten Island,Entire home/apt,207.0,2,36,1.33,220,40.6294,-73.7803
356,Role present hard take.,Nancy,Manhattan,Entire home/apt,127.0,14,211,2.12,178,40.5762,-74.0122
357,Size prepare remain work.,Kenneth,Manhattan,Private room,47.0,2,179,3.08,226,40.7493,-73.9738
358,Reach position cause lead.,Laura,Brooklyn,Entire home/apt,169.0,14,191,0.78,43,40.5449,-74.1282
359,Establish TV recently.,Evelyn,Staten Island,Entire home/apt,128.0,30,147,0.07,355,40.8217,-74.028
360,Almost deal specific.,Chad,Bronx,Entire home/apt,175.0,3,107,3.7,108,40.5815,-73.9407
361,Build room walk base.,Brandy,Queens,Shared room,48.0,5,318,3.65,72,40.778,-73.8827
362,Onto research.,Oscar,Bronx,Shared room,10.0,14,269,0.22,87,40.524,-74.0697
363,Official push.,Kristin,Staten Island,Private room,142.0,1,238,3.27,4,40.5266,-73.8859
364,Including have author loss we.,Cameron,Queens,Entire home/apt,222.0,1,149,4.34,332,40.6546,-73.7581
365,Fund ago.,David,Staten Island,Shared room,15.0,1,161,2.42,305,40.7126,-74.0754
366,Painting goal white less.,Alejandra,Staten Island,Private room,64.0,7,364,0.11,126,40.8689,-74.028
367,Condition fly better.,Linda,Bronx,Private room,91.0,14,80,0.09,350,40.6408,-73.8999
368,Resource too.,Ian,Brooklyn,Shared room,53.0,3,31,3.13,198,40.8562,-73.8241
369,Notice they book official TV.,Emily,Manhattan,Shared room,66.0,3,115,0.76,201,40.7628,-74.1149
370,Including heart same.,Eric,Bronx,Shared room,120.0,14,313,4.36,351,40.591,-74.0539
371,Wear final.,Jennifer,Brooklyn,Private room,73.0,3,309,1.65,277,40.5527,-73.889
372,News knowledge before whether many.,Jeffrey,Staten Island,Shared room,10.0,14,103,4.31,158,40.7754,-73.7905
373,Other have hospital.,Christine,Brooklyn,Private room,25.0,30,74,3.28,289,40.8668,-74.023
374,Modern pick time challenge.,Cheyenne,Staten Island,Shared room,11.0,14,60,0.92,74,40.7908,-73.8438
375,Yeah these although water.,Danielle,Bronx,Private room,79.0,3,226,3.73,326,40.8733,-74.0405
376,Prepare nearly boy area.,Elizabeth,Brooklyn,Entire home/apt,222.0,2,94,0.13,313,40.7468,-73.9078
377,Another beyond brother mission.,Nancy,Staten Island,Entire home/apt,129.0,7,118,1.15,13,40.6437,-73.8747
378,Film part card claim push.,Larry,Bronx,Entire home/apt,159.0,7,309,2.34,332,40.6496,-73.8091
379,Store teach down necessary day.,Carmen,Bronx,Private room,79.0,2,83,0.97,16,40.6634,-73.7625
380,Trip doctor rate.,Caleb,Queens,Private room,128.0,2,380,3.36,103,40.8031,-74.1235
381,Machine office item computer.,Marissa,Bronx,Shared room,141.0,5,352,1.62,234,40.855,-73.979
382,Can glass.,Gerald,Manhattan,Shared room,19.0,14,194,3.6,201,40.7446,-73.853
383,Likely audience century hold hot.,Laura,Staten Island,Shared room,20.0,7,328,4.38,19,40.7083,-73.9694
384,Executive statement word.,Stephanie,Manhattan,Entire home/apt,192.0,7,275,1.98,20,40.7231,-73.9435
385,Maybe his eye certain reflect.,Jennifer,Manhattan,Entire home/apt,177.0,3,225,1.99,155,40.8095,-74.0356
386,Knowledge well discussion though.,Joshua,Brooklyn,Private room,154.0,3,313,4.6,353,40.7068,-74.0931
387,Part market money level always.,Ann,Bronx,Entire home/apt,173.0,14,256,0.57,299,40.8751,-73.8716
388,Instead operation everything.,Brandon,Brooklyn,Private room,66.0,5,165,2.25,91,40.6815,-73.7914
389,Pass machine say bad.,Christine,Brooklyn,Private room,104.0,1,128,1.62,332,40.8629,-73.8314
390,Everything thing option wish.,Jake,Manhattan,Entire home/apt,194.0,1,361,2.25,185,40.5341,-73.8671
391,Thank natural try teacher financial.,David,Staten Island,Shared room,73.0,2,193,2.75,22,40.8073,-73.7851
392,Street worry that with.,Kristin,Staten Island,Shared room,60.0,30,76,0.81,74,40.5715,-73.8652
393,Officer stock player.,Danny,Bronx,Private room,123.0,3,373,3.84,228,40.6155,-74.0777
394,Three space style.,David,Brooklyn,Entire home/apt,197.0,1,318,3.83,6,40.6835,-73.8078
395,Everybody inside.,Bradley,Staten Island,Entire home/apt,205.0,7,252,1.19,301,40.7638,-73.9685
396,Continue price thus although.,Linda,Bronx,Entire home/apt,176.0,7,307,0.03,280,40.6112,-73.8985
397,Table beyond leave instead.,Benjamin,Brooklyn,Entire home/apt,143.0,2,75,0.28,178,40.5147,-73.8085
398,Course their themselves.,Danielle,Staten Island,Shared room,46.0,3,169,4.6,25,40.5436,-73.7525
399,Involve board sometimes.,Gerald,Brooklyn,Shared room,88.0,3,312,3.3,358,40.738,-73.8351
400,Leader either party identify.,Claire,Brooklyn,Private room,47.0,14,296,1.8,18,40.5373,-74.0303
401,Fight marriage official carry per.,Kim,Queens,Private room,95.0,30,34,3.79,281,40.526,-73.9617
402,Require approach cut technology.,Joshua,Manhattan,Shared room,24.0,30,140,1.65,211,40.7099,-73.8717
403,Medical others special.,Elizabeth,Staten Island,Entire home/apt,151.0,1,292,3.65,322,40.7116,-74.1149
404,Day agency themselves star.,Mark,Staten Island,Shared room,91.0,3,218,3.04,162,40.6039,-73.9199
405,Traditional service.,Margaret,Staten Island,Private room,88.0,2,314,2.81,266,40.7917,-73.9509
406,Civil stand large no.,Maxwell,Brooklyn,Shared room,42.0,2,362,1.45,99,40.5006,-74.1404
407,Lawyer push letter.,Victoria,Manhattan,Shared room,10.0,30,106,4.0,212,40.6656,-74.0165
408,Account cultural.,Gary,Staten Island,Shared room,70.0,2,5,3.2,353,40.6127,-73.8339
409,Agent religious sometimes.,Charles,Queens,Private room,106.0,7,281,1.62,3,40.5455,-74.0167
410,Hear offer news bring.,Sue,Bronx,Shared room,127.0,7,315,4.8,89,40.5776,-73.8165
411,Media travel but popular middle.,Raymond,Bronx,Private room,68.0,30,18,3.23,246,40.5622,-73.9658
412,Operation finish situation.,Clifford,Staten Island,Private room,89.0,5,211,4.64,28,40.834,-74.0303
413,Where find.,Tiffany,Queens,Shared room,50.0,7,9,1.04,350,40.6327,-73.7835
414,Perhaps whom according bring.,Susan,Queens,Entire home/apt,213.0,2,143,4.2,173,40.8934,-73.8994
415,The goal say international hair.,Adam,Brooklyn,Shared room,36.0,7,199,0.94,59,40.8458,-73.8494
416,The home front after.,Christopher,Queens,Shared room,51.0,1,139,2.07,254,40.8508,-74.0014
417,Control yourself fast.,Marc,Queens,Entire home/apt,174.0,7,154,0.88,191,40.814,-73.8389
418,Arm stay late.,Donald,Manhattan,Private room,87.0,7,12,4.0,256,40.5616,-74.014
419,Catch star light economic.,Kelli,Bronx,Shared room,22.0,30,268,1.55,167,40.5573,-73.8013
420,Billion play many there.,Tina,Staten Island,Shared room,48.0,2,105,3.62,235,40.655,-73.8041
421,Late of increase miss.,Deborah,Manhattan,Entire home/apt,193.0,3,22,3.44,304,40.8488,-74.0167
422,Certain herself though together.,Richard,Manhattan,Entire home/apt,109.0,7,392,3.29,159,40.509,-73.8466
423,Phone industry wait great.,George,Brooklyn,Private room,85.0,2,98,1.43,272,40.6277,-73.9736
424,Sit police financial dinner sometimes.,Calvin,Manhattan,Private room,52.0,2,80,1.37,7,40.8833,-73.9261
425,Conference our material cultural participant.,Thomas,Manhattan,Entire home/apt,198.0,7,179,2.75,138,40.5566,-73.8683
426,Style first summer along.,Catherine,Queens,Shared room,10.0,2,87,0.36,313,40.8569,-73.9338
427,Fine weight something.,Karen,Manhattan,Entire home/apt,128.0,1,241,4.52,25,40.5424,-74.1285
428,Way great dinner hit.,Lisa,Bronx,Private room,95.0,2,360,2.98,303,40.7518,-73.874
429,Contain impact return themselves human.,Jonathan,Bronx,Shared room,103.0,3,159,1.66,101,40.7852,-73.8817
430,Until executive ability task.,Jessica,Staten Island,Entire home/apt,147.0,30,391,2.33,67,40.5372,-73.8291
431,Listen science scientist catch early.,Jessica,Bronx,Entire home/apt,128.0,5,158,3.42,363,40.8066,-73.9618
432,Save finish.,Hannah,Brooklyn,Entire home/apt,225.0,30,315,1.29,186,40.6568,-73.8702
433,Might pass lawyer.,Karen,Queens,Private room,22.0,5,249,0.15,243,40.5452,-73.9585
434,Door gas smile deep.,Julie,Brooklyn,Private room,10.0,30,178,3.02,65,40.7032,-73.9877
435,Media certain.,Lisa,Manhattan,Private room,98.0,7,332,0.35,154,40.7131,-73.9897
436,North citizen check.,Amanda,Bronx,Entire home/apt,130.0,7,124,2.74,246,40.6535,-74.0137
437,Nice first big add skin.,Emily,Staten Island,Private room,39.0,30,222,2.84,175,40.7178,-74.0555
438,Reflect or president those.,Cameron,Manhattan,Shared room,68.0,14,293,4.18,58,40.7369,-73.9648
439,Day meet on from who.,Diamond,Staten Island,Entire home/apt,160.0,30,227,0.88,207,40.5278,-74.1065
440,Strong skin third.,Eugene,Staten Island,Private room,57.0,3,253,3.22,31,40.5362,-73.8232
441,Traditional institution affect watch heavy.,Kathy,Staten Island,Shared room,10.0,30,0,3.79,338,40.5597,-73.9375
442,World employee dark.,Bobby,Bronx,Shared room,75.0,7,228,0.98,348,40.851,-74.0301
443,Individual concern today.,Rebecca,Queens,Private room,106.0,14,176,4.95,298,40.5032,-73.7554
444,News yourself interview Mr.,Matthew,Bronx,Entire home/apt,146.0,30,150,0.31,281,40.8872,-74.1497
445,Red whatever here responsibility.,Tammy,Staten Island,Private room,154.0,1,144,4.33,120,40.6727,-73.9139
446,Begin effect economy girl get.,Monique,Queens,Shared room,10.0,5,207,1.91,279,40.5845,-74.0806
447,Too could difference growth.,Timothy,Brooklyn,Entire home/apt,89.0,7,196,4.22,184,40.836,-74.0883
448,Example fight stop significant.,Christopher,Brooklyn,Entire home/apt,122.0,1,36,3.24,73,40.7885,-73.9553
449,Color discuss person analysis hit.,Bruce,Bronx,Entire home/apt,148.0,1,70,3.21,212,40.8441,-73.7926
450,Economy question total.,Jennifer,Staten Island,Private room,90.0,7,92,2.27,217,40.7208,-73.97
451,Seem recently between.,Carlos,Queens,Entire home/apt,140.0,2,217,3.02,295,40.6993,-73.8576
452,Reduce opportunity clearly.,Elizabeth,Staten Island,Private room,94.0,5,279,2.88,17,40.8913,-73.9227
453,Marriage difference event around.,Benjamin,Queens,Entire home/apt,100.0,7,246,4.81,40,40.5568,-73.8575
454,Fill purpose.,Margaret,Queens,Private room,138.0,7,40,2.62,312,40.5354,-73.961
455,Set effort own life.,Amanda,Manhattan,Shared room,37.0,14,276,3.99,159,40.7452,-73.7886
456,Amount describe.,Katherine,Staten Island,Entire home/apt,195.0,5,232,2.56,240,40.7296,-74.0174
457,Course whole little.,Samuel,Queens,Private room,94.0,3,85,0.18,305,40.7998,-73.8592
458,Will too economy.,Shane,Staten Island,Private room,98.0,1,322,2.37,86,40.7291,-73.8875
459,Court wind both stop.,Sarah,Queens,Shared room,63.0,7,13,1.43,42,40.5507,-74.1193
460,Writer end certain.,Lauren,Queens,Private room,98.0,2,315,1.4,131,40.5057,-74.1054
461,Career plan enter.,Margaret,Brooklyn,Shared room,66.0,14,77,3.3,189,40.8231,-74.0455
462,Not recognize interesting.,Neil,Brooklyn,Private room,133.0,2,270,4.31,175,40.8936,-73.7631
463,Nice pattern goal prepare economic.,Sarah,Staten Island,Entire home/apt,158.0,30,253,3.76,211,40.8081,-74.0548
464,Ok because themselves one man.,Joshua,Bronx,Shared room,68.0,14,85,1.05,176,40.5217,-74.0442
465,Behavior specific.,Gregory,Manhattan,Entire home/apt,146.0,2,237,1.99,154,40.6905,-73.7707
466,Various phone style fish thousand.,Jenna,Staten Island,Entire home/apt,208.0,5,349,3.53,242,40.6051,-73.9378
467,What for term whom.,Renee,Bronx,Entire home/apt,123.0,3,229,1.91,161,40.8847,-73.8768
468,Toward account eight.,Jeremy,Manhattan,Entire home/apt,222.0,7,326,1.77,221,40.7442,-73.8892
469,Field move claim physical call.,Thomas,Queens,Private room,78.0,3,136,4.01,130,40.7617,-73.9935
470,Yard believe event.,Alyssa,Brooklyn,Shared room,10.0,14,301,3.85,266,40.635,-73.8739
471,Scene usually defense world.,Nathan,Brooklyn,Private room,85.0,7,5,3.36,34,40.5048,-74.1109
472,Idea hundred away.,Dale,Manhattan,Shared room,13.0,5,179,1.1,145,40.6008,-74.1364
473,Both start air.,Carolyn,Staten Island,Entire home/apt,184.0,1,304,3.28,111,40.8802,-73.8948
474,We break.,Catherine,Manhattan,Entire home/apt,124.0,30,309,0.65,336,40.8055,-73.8908
475,Respond quickly.,Alicia,Brooklyn,Entire home/apt,132.0,14,94,1.27,239,40.7642,-74.1197
476,Paper high item security.,Angela,Bronx,Private room,10.0,30,218,3.46,341,40.808,-74.0206
477,Remember together education from several.,Amy,Brooklyn,Entire home/apt,132.0,3,397,0.31,198,40.6331,-74.126
478,Take quite contain.,Johnny,Queens,Entire home/apt,53.0,5,35,2.46,102,40.7441,-74.0786
479,How million yourself while.,Gabrielle,Bronx,Entire home/apt,87.0,2,276,3.84,111,40.7456,-74.1075
480,In leg good.,Marie,Bronx,Shared room,70.0,3,52,0.17,36,40.7285,-74.0498
481,These series return him also.,Matthew,Bronx,Entire home/apt,181.0,5,76,3.26,0,40.8732,-73.8842
482,Institution week individual guy and.,Elijah,Queens,Entire home/apt,167.0,14,168,4.52,294,40.5015,-73.867
483,Course institution vote effort analysis.,Angel,Bronx,Private room,41.0,5,206,4.22,35,40.7161,-74.1487
484,Total own memory.,Karen,Bronx,Entire home/apt,148.0,7,274,4.68,183,40.6334,-74.0289
485,Certainly central may.,Caroline,Manhattan,Shared room,40.0,14,46,1.83,174,40.5322,-73.9661
486,Own for.,Gregory,Queens,Shared room,10.0,2,90,2.77,196,40.7643,-74.0305
487,Name beautiful miss.,Erica,Bronx,Entire home/apt,210.0,14,352,1.8,43,40.8541,-73.9748
488,Month senior section.,Jessica,Brooklyn,Entire home/apt,185.0,1,98,0.13,303,40.5954,-73.9945
489,However deep include budget.,Megan,Staten Island,Shared room,31.0,3,255,2.67,230,40.8866,-74.1434
490,Prove learn another fly.,Robert,Queens,Entire home/apt,151.0,3,369,0.21,60,40.5847,-73.8885
491,Among type.,John,Staten Island,Private room,88.0,14,274,0.74,296,40.5932,-74.1212
492,Movement arm such.,Jill,Brooklyn,Private room,10.0,14,9,2.36,316,40.5183,-73.8695
493,Us control just produce.,Michael,Brooklyn,Entire home/apt,140.0,2,323,0.25,157,40.8283,-74.1111
494,Dark trouble writer listen.,Kaitlyn,Staten Island,Entire home/apt,123.0,30,302,0.32,54,40.5457,-73.912
495,Of foreign.,Meghan,Staten Island,Entire home/apt,110.0,1,103,2.13,347,40.6608,-74.1017
496,Become discover improve.,Michelle,Staten Island,Shared room,29.0,2,164,4.18,109,40.8057,-73.9128
497,Author result.,Anthony,Queens,Entire home/apt,222.0,1,140,0.71,212,40.5672,-74.002
498,Offer view.,Melissa,Brooklyn,Private room,106.0,2,297,0.2,51,40.8164,-73.8971
499,Attack rule war cost.,Megan,Bronx,Entire home/apt,127.0,1,249,0.4,3,40.5718,-74.1143
500,Serious more make take.,Laura,Staten Island,Private room,103.0,5,355,4.04,243,40.7769,-74.0675
501,Can its effect.,John,Queens,Shared room,96.0,5,210,1.2,89,40.7442,-74.135
502,Catch close agreement.,Mary,Brooklyn,Shared room,77.0,5,313,4.75,321,40.8306,-74.0295
503,Car have take.,Isabella,Bronx,Entire home/apt,152.0,7,120,0.96,271,40.8907,-73.9024
504,Wear institution.,John,Staten Island,Shared room,14.0,2,237,3.85,337,40.5832,-74.1288
505,Lawyer few power environmental.,Christopher,Manhattan,Entire home/apt,178.0,14,242,2.49,81,40.7681,-74.1328
506,So exist plan guy.,Amy,Queens,Private room,96.0,2,222,1.26,315,40.8221,-73.8466
507,Treat dream.,Brian,Manhattan,Entire home/apt,186.0,14,26,4.62,90,40.5632,-74.1384
508,Now wrong.,Paula,Staten Island,Entire home/apt,175.0,1,120,3.61,303,40.7319,-73.9824
509,Involve magazine debate local.,Joan,Queens,Entire home/apt,192.0,30,56,1.63,50,40.5948,-73.985
510,Thousand single exist.,Micheal,Brooklyn,Private room,59.0,2,37,2.35,248,40.5217,-73.9757
511,Discuss case whom day them.,Lauren,Brooklyn,Shared room,93.0,5,91,1.94,69,40.6831,-74.0723
512,Summer meet they.,James,Queens,Private room,88.0,2,171,0.64,354,40.7275,-74.0378
513,Knowledge fight state.,Jodi,Manhattan,Private room,163.0,5,214,0.86,175,40.5879,-74.0319
514,Under six necessary least.,Kendra,Brooklyn,Shared room,12.0,7,87,2.89,283,40.842,-74.1154
515,Star trade.,Suzanne,Staten Island,Private room,149.0,30,110,2.96,236,40.6117,-73.858
516,Growth administration consider.,Amber,Brooklyn,Entire home/apt,158.0,3,222,2.9,302,40.8785,-73.7845
517,Machine doctor.,Michael,Manhattan,Private room,54.0,1,20,4.96,258,40.5134,-73.9376
518,Enough action.,Michelle,Bronx,Shared room,21.0,30,50,2.26,123,40.5332,-73.8488
519,Quickly show report hold.,Cynthia,Bronx,Entire home/apt,137.0,2,183,1.48,331,40.8996,-74.1436
520,Necessary international.,Laura,Queens,Entire home/apt,167.0,14,235,4.29,298,40.5098,-73.9681
521,Civil natural find bad.,Andrea,Brooklyn,Shared room,61.0,5,94,3.95,189,40.7507,-73.8684
522,Model case.,Jennifer,Manhattan,Shared room,17.0,1,197,4.47,170,40.7124,-74.0314
523,East over.,Thomas,Queens,Shared room,39.0,7,277,2.88,106,40.8151,-74.1176
524,Data write.,Traci,Queens,Shared room,126.0,1,263,4.73,345,40.6456,-74.1294
525,Bit speak approach his.,William,Bronx,Private room,149.0,5,316,0.2,187,40.5701,-73.9265
526,Against grow whole company.,Rebecca,Manhattan,Shared room,57.0,14,396,1.02,171,40.5955,-74.1046
527,Throughout public senior drug course.,Denise,Bronx,Shared room,42.0,30,297,4.36,359,40.5839,-73.852
528,Moment unit soon old.,Madison,Brooklyn,Private room,85.0,3,136,2.52,216,40.6109,-74.1247
529,Card imagine each defense power.,Jessica,Queens,Private room,105.0,5,256,2.63,62,40.6881,-73.9372
530,Final mention take speak manage.,Colin,Staten Island,Private room,39.0,5,317,1.84,344,40.8781,-73.8265
531,Raise agency.,Jerome,Manhattan,Entire home/apt,140.0,5,44,0.4,91,40.6153,-73.7673
532,Blue television day most.,Hector,Manhattan,Entire home/apt,83.0,3,57,3.49,254,40.5602,-74.0683
533,Leader book certain buy decision.,Autumn,Manhattan,Private room,96.0,5,349,2.71,67,40.6896,-73.9819
534,Program chair public professional.,Dylan,Manhattan,Private room,106.0,2,32,0.11,118,40.834,-73.9422
535,Happy successful class.,Matthew,Queens,Private room,61.0,7,175,3.28,167,40.6945,-73.8837
536,Ten everybody father.,Philip,Staten Island,Shared room,103.0,5,234,1.52,67,40.8593,-74.0274
537,Physical later next.,Kenneth,Queens,Entire home/apt,101.0,5,190,4.85,24,40.5593,-74.0362
538,In know.,Ryan,Brooklyn,Shared room,10.0,2,364,2.68,93,40.8893,-73.8143
